id,i1_overs,i1_limit,i2_overs,i2_limit,is_short,result,pp_i1,pp_i2,full_game,i1_balls,i2_balls
829771,10,balls,10,win,0,i2,3,3,0,60,60
829773,20,balls,20,balls,0,i1,6,6,1,120,120
829775,20,balls,20,balls,0,i1,6,6,1,120,120
829777,20,balls,20,balls,0,i1,6,6,1,120,120
829779,20,balls,20,wickets,0,i1,6,6,1,120,120
829781,20,balls,20,balls,0,i1,6,6,1,120,120
829783,20,balls,20,win,0,i2,6,6,1,120,120
829785,20,balls,14,wickets,0,i1,6,6,1,120,120
829787,20,balls,20,balls,0,i1,6,6,1,120,120
829789,20,balls,20,win,0,i2,6,6,1,120,120
829791,20,balls,20,win,0,i2,6,6,1,120,120
829793,20,balls,20,balls,0,i1,6,6,1,120,120
829795,20,balls,20,balls,0,i1,6,6,1,120,120
829797,20,balls,20,balls,0,i1,6,6,1,120,120
829799,20,balls,20,balls,0,i1,6,6,1,120,120
829801,20,balls,17,win,0,i2,6,6,1,120,120
829803,10,balls,10,balls,0,i1,3,3,0,60,60
829805,20,balls,20,balls,0,i1,6,6,1,120,120
829807,11,balls,6,win,D/L,i2,3,2,0,66,36
829809,20,balls,17,win,0,i2,6,6,1,120,120
829811,20,balls,20,balls,0,i1,6,6,1,120,120
829813,20,balls,2,balls,NR,NA,6,2,0,120,120
829815,20,wickets,14,win,0,i2,6,6,1,120,120
829817,20,balls,19,wickets,0,i1,6,6,1,120,120
829819,20,balls,19,wickets,0,i1,6,6,1,120,120
829821,20,balls,20,win,0,i2,6,6,1,120,120
829823,20,balls,20,balls,0,i1,6,6,1,120,120
980901,20,balls,15,win,0,i2,6,6,1,120,120
980903,18,wickets,15,win,0,i2,6,6,1,120,120
980905,20,balls,18,win,0,i2,6,6,1,120,120
980907,20,balls,20,balls,0,i1,6,6,1,120,120
980909,20,balls,20,win,0,i2,6,6,1,120,120
980911,20,balls,19,win,0,i2,6,6,1,120,120
980913,20,balls,14,win,0,i2,6,6,1,120,120
980915,20,balls,19,win,0,i2,6,6,1,120,120
980917,20,balls,20,win,0,i2,6,6,1,120,120
980919,20,balls,19,win,0,i2,6,6,1,120,120
980921,20,balls,20,win,0,i2,6,6,1,120,120
980923,20,balls,18,win,0,i2,6,6,1,120,120
980925,20,balls,18,win,0,i2,6,6,1,120,120
980927,20,balls,18,win,0,i2,6,6,1,120,120
980929,20,balls,15,win,0,i2,6,6,1,120,120
980931,20,balls,20,balls,0,i1,6,6,1,120,120
980933,20,balls,20,balls,0,i1,6,6,1,120,120
980935,20,balls,18,win,0,i2,6,6,1,120,120
980937,20,balls,20,win,0,i2,6,6,1,120,120
980939,20,balls,20,win,0,i2,6,6,1,120,120
980941,20,balls,20,balls,0,i1,6,6,1,120,120
980943,20,balls,11,balls,D/L,i1,6,6,0,120,120
980945,20,balls,20,balls,0,i1,6,6,1,120,120
980947,20,balls,18,win,0,i2,6,6,1,120,120
980949,20,balls,20,win,0,i2,6,6,1,120,120
980951,20,balls,19,wickets,0,i1,6,6,1,120,120
980953,20,balls,20,balls,0,i1,6,6,1,120,120
980955,20,wickets,20,balls,0,i1,6,6,1,120,120
980957,20,balls,19,win,0,i2,6,6,1,120,120
980959,20,balls,20,win,0,i2,6,6,1,120,120
980961,20,balls,18,win,0,i2,6,6,1,120,120
980963,20,balls,20,balls,0,i1,6,6,1,120,120
980965,20,balls,20,win,0,i2,6,6,1,120,120
980967,20,balls,19,win,0,i2,6,6,1,120,120
980969,20,balls,20,win,0,i2,6,6,1,120,120
980971,20,balls,20,balls,0,i1,6,6,1,120,120
980973,20,balls,17,wickets,0,i1,6,6,1,120,120
980975,20,balls,18,win,0,i2,6,6,1,120,120
980977,20,balls,20,balls,0,i1,6,6,1,120,120
980979,20,balls,20,balls,0,i1,6,6,1,120,120
980981,20,balls,19,win,0,i2,6,6,1,120,120
980983,20,balls,19,win,0,i2,6,6,1,120,120
980985,20,balls,17,win,0,i2,6,6,1,120,120
980987,20,balls,19,wickets,0,i1,6,6,1,120,120
980989,18,balls,5,win,D/L,i2,6,3,0,120,54
980991,20,balls,20,win,0,i2,6,6,1,120,120
980993,20,balls,20,wickets,0,i1,6,6,1,120,120
980995,20,balls,19,win,0,i2,6,6,1,120,120
980997,20,balls,11,balls,D/L,i2,6,6,0,120,120
980999,15,balls,14,balls,D/L,i1,5,5,0,90,90
981001,20,balls,14,win,0,i2,6,6,1,120,120
981003,20,balls,20,win,0,i2,6,6,1,120,120
981005,20,balls,20,win,0,i2,6,6,1,120,120
981007,20,balls,18,win,0,i2,6,6,1,120,120
981009,20,balls,20,balls,0,i1,6,6,1,120,120
981011,20,balls,19,win,0,i2,6,6,1,120,120
981013,20,wickets,19,win,0,i2,6,6,1,120,120
981015,20,balls,20,balls,0,i1,6,6,1,120,120
981017,20,balls,20,win,0,i2,6,6,1,120,120
981019,20,balls,20,balls,0,i1,6,6,1,120,120
1082591,20,balls,20,wickets,0,i1,6,6,1,120,120
1082592,20,balls,20,win,0,i2,6,6,1,120,120
1082593,20,balls,15,win,0,i2,6,6,1,120,120
1082594,20,balls,19,win,0,i2,6,6,1,120,120
1082595,20,balls,20,balls,0,i1,6,6,1,120,120
1082596,20,balls,16,win,0,i2,6,6,1,120,120
1082597,20,balls,20,win,0,i2,6,6,1,120,120
1082598,20,balls,15,win,0,i2,6,6,1,120,120
1082599,20,balls,17,wickets,0,i1,6,6,1,120,120
1082600,20,balls,19,win,0,i2,6,6,1,120,120
1082601,20,balls,17,win,0,i2,6,6,1,120,120
1082602,20,balls,19,win,0,i2,6,6,1,120,120
1082603,20,balls,18,win,0,i2,6,6,1,120,120
1082604,20,balls,20,balls,0,i1,6,6,1,120,120
1082605,20,balls,20,balls,0,i1,6,6,1,120,120
1082606,20,balls,20,win,0,i2,6,6,1,120,120
1082607,20,balls,20,balls,0,i1,6,6,1,120,120
1082608,20,balls,20,win,0,i2,6,6,1,120,120
1082609,20,balls,20,wickets,0,i1,6,6,1,120,120
1082610,20,balls,20,balls,0,i1,6,6,1,120,120
1082611,20,balls,20,balls,0,i1,6,6,1,120,120
1082612,20,balls,16,win,0,i2,6,6,1,120,120
1082613,20,balls,19,win,0,i2,6,6,1,120,120
1082614,20,balls,20,balls,0,i1,6,6,1,120,120
1082615,20,balls,20,win,0,i2,6,6,1,120,120
